From Date,To Date,PM10,NO2,SO2,CO,Ozone
24-03-2019 00:00,25-03-2019 00:00,None,None,None,None,None
25-03-2019 00:00,26-03-2019 00:00,200.9,59.66,8.44,1.44,None
26-03-2019 00:00,27-03-2019 00:00,162.16,47.61,7.01,1.37,None
27-03-2019 00:00,28-03-2019 00:00,165.17,49.95,6.44,1.43,None
28-03-2019 00:00,29-03-2019 00:00,179.94,58.33,7.32,1.39,None
29-03-2019 00:00,30-03-2019 00:00,176.04,57.23,7.05,1.38,None
30-03-2019 00:00,31-03-2019 00:00,122.29,40.45,6.38,1.32,None
31-03-2019 00:00,01-04-2019 00:00,None,None,None,None,None
01-04-2019 00:00,02-04-2019 00:00,None,None,None,None,None
02-04-2019 00:00,03-04-2019 00:00,296.62,54.68,7.64,1.42,None
03-04-2019 00:00,04-04-2019 00:00,211.57,68.45,8.33,1.42,None
04-04-2019 00:00,05-04-2019 00:00,171.97,52.07,7.12,1.42,None
05-04-2019 00:00,06-04-2019 00:00,166.88,57.78,7.01,1.39,None
06-04-2019 00:00,07-04-2019 00:00,175.53,49.65,6.95,1.35,None
07-04-2019 00:00,08-04-2019 00:00,157.58,46.9,7.21,1.33,None
08-04-2019 00:00,09-04-2019 00:00,138,42.32,7,1.33,None
09-04-2019 00:00,10-04-2019 00:00,190.84,45.47,8.12,1.34,None
10-04-2019 00:00,11-04-2019 00:00,125.87,44.52,6.92,1.32,None
11-04-2019 00:00,12-04-2019 00:00,228.09,80.66,9.78,1.49,None
12-04-2019 00:00,13-04-2019 00:00,169.49,55.38,6.71,1.34,None
13-04-2019 00:00,14-04-2019 00:00,168.96,54,7.88,1.38,None
14-04-2019 00:00,15-04-2019 00:00,157.26,45.96,8.07,1.34,None
15-04-2019 00:00,16-04-2019 00:00,156.47,52.35,6.85,1.4,None
16-04-2019 00:00,17-04-2019 00:00,147.7,42.68,7,1.33,None
17-04-2019 00:00,18-04-2019 00:00,168.55,32.31,6.34,1.32,None
18-04-2019 00:00,19-04-2019 00:00,177.74,47.47,5.91,1.36,None
19-04-2019 00:00,20-04-2019 00:00,219.28,60.91,7.6,2.41,None
20-04-2019 00:00,21-04-2019 00:00,124.63,38.77,6.55,1.71,None
21-04-2019 00:00,22-04-2019 00:00,127.06,36.99,6.65,1.71,None
22-04-2019 00:00,23-04-2019 00:00,151.79,39.5,6.69,1.33,None
23-04-2019 00:00,24-04-2019 00:00,139.59,46.53,6.81,1.35,None
24-04-2019 00:00,25-04-2019 00:00,140.52,51.39,7.59,1.34,None
25-04-2019 00:00,26-04-2019 00:00,182.58,60.39,6.83,1.38,None
26-04-2019 00:00,27-04-2019 00:00,150.65,44.11,5.36,1.3,None
27-04-2019 00:00,28-04-2019 00:00,219.85,67.62,7.2,1.84,None
28-04-2019 00:00,29-04-2019 00:00,177.77,58.3,7.27,1.64,None
29-04-2019 00:00,30-04-2019 00:00,160.39,36.57,6.36,1.52,None
30-04-2019 00:00,01-05-2019 00:00,149.38,27.13,6.09,1.81,None
01-05-2019 00:00,02-05-2019 00:00,121.76,25.13,5.53,2.06,None
02-05-2019 00:00,03-05-2019 00:00,161.85,24.72,5.95,1.36,None
03-05-2019 00:00,04-05-2019 00:00,193.87,36.41,7.19,1.37,None
04-05-2019 00:00,05-05-2019 00:00,189.84,28.37,6.13,1.3,None
05-05-2019 00:00,06-05-2019 00:00,189.89,39.53,5.77,1.33,None
06-05-2019 00:00,07-05-2019 00:00,184.51,38.65,6.19,1.32,None
07-05-2019 00:00,08-05-2019 00:00,138.03,26.61,6.19,1.34,None
08-05-2019 00:00,09-05-2019 00:00,105.91,19.84,5.99,1.45,None
09-05-2019 00:00,10-05-2019 00:00,166.02,36.58,5.72,1.53,None
10-05-2019 00:00,11-05-2019 00:00,154.22,30.73,6.05,1.3,None
11-05-2019 00:00,12-05-2019 00:00,173.85,34.3,6.28,1.34,None
12-05-2019 00:00,13-05-2019 00:00,167.08,36.27,6.26,1.46,None
13-05-2019 00:00,14-05-2019 00:00,151.73,32.97,5.43,1.41,None
14-05-2019 00:00,15-05-2019 00:00,142.66,30.17,5.51,1.48,None
15-05-2019 00:00,16-05-2019 00:00,143.36,31.55,6.67,2.24,None
16-05-2019 00:00,17-05-2019 00:00,162.51,44.52,6.23,1.69,None
17-05-2019 00:00,18-05-2019 00:00,139.67,27.69,4.64,1.59,None
18-05-2019 00:00,19-05-2019 00:00,None,None,None,None,None
19-05-2019 00:00,20-05-2019 00:00,None,None,None,None,None
20-05-2019 00:00,21-05-2019 00:00,170.29,57.83,7.32,1.45,None
21-05-2019 00:00,22-05-2019 00:00,101.47,45.28,5.32,1.3,None
22-05-2019 00:00,23-05-2019 00:00,75.37,34.27,6.19,1.32,None
23-05-2019 00:00,24-05-2019 00:00,114.31,46.08,6.5,1.36,None
24-05-2019 00:00,25-05-2019 00:00,56.09,39.83,5.46,1.3,None
25-05-2019 00:00,26-05-2019 00:00,127.9,36.81,6.03,1.3,None
26-05-2019 00:00,27-05-2019 00:00,42.21,37.91,5.12,1.29,None
27-05-2019 00:00,28-05-2019 00:00,95.23,46.36,6.57,1.37,None
28-05-2019 00:00,29-05-2019 00:00,72.95,33.02,5.28,1.28,None
29-05-2019 00:00,30-05-2019 00:00,None,69.73,7.01,1.42,None
30-05-2019 00:00,31-05-2019 00:00,None,39.87,6.48,1.31,None
31-05-2019 00:00,01-06-2019 00:00,None,41.63,6.17,1.31,None
01-06-2019 00:00,02-06-2019 00:00,None,33.3,6.79,1.3,None
02-06-2019 00:00,03-06-2019 00:00,None,36.07,6.7,1.32,None
03-06-2019 00:00,04-06-2019 00:00,None,29.62,6.89,1.29,None
04-06-2019 00:00,05-06-2019 00:00,None,28.19,6.27,1.28,None
05-06-2019 00:00,06-06-2019 00:00,None,22.82,4.51,1.32,None
06-06-2019 00:00,07-06-2019 00:00,None,36.14,5.88,1.48,None
07-06-2019 00:00,08-06-2019 00:00,None,46.18,6.28,1.33,None
08-06-2019 00:00,09-06-2019 00:00,None,36.05,8.4,1.29,None
09-06-2019 00:00,10-06-2019 00:00,None,34.68,6.49,1.14,None
10-06-2019 00:00,11-06-2019 00:00,None,33.49,7.47,1.14,None
11-06-2019 00:00,12-06-2019 00:00,None,32.88,6.44,1.19,None
12-06-2019 00:00,13-06-2019 00:00,None,48.67,9.25,1.4,None
13-06-2019 00:00,14-06-2019 00:00,None,43.28,15,1.31,None
14-06-2019 00:00,15-06-2019 00:00,92.77,39.14,12.29,1.26,None
15-06-2019 00:00,16-06-2019 00:00,75.77,39.61,13.8,1.31,None
16-06-2019 00:00,17-06-2019 00:00,71.09,32.37,13.62,1.25,None
17-06-2019 00:00,18-06-2019 00:00,92.77,41.99,12.1,1.62,None
18-06-2019 00:00,19-06-2019 00:00,73.03,33.27,11.76,1.28,None
19-06-2019 00:00,20-06-2019 00:00,82.94,36.15,12.6,1.52,None
20-06-2019 00:00,21-06-2019 00:00,69.04,37.48,13.2,1.46,None
21-06-2019 00:00,22-06-2019 00:00,77.32,38.44,13.48,1.35,None
22-06-2019 00:00,23-06-2019 00:00,87.1,47.6,12.51,1.47,None
23-06-2019 00:00,24-06-2019 00:00,73.82,48.68,12.82,1.5,None
24-06-2019 00:00,25-06-2019 00:00,101.25,45.49,14.42,0.78,None
25-06-2019 00:00,26-06-2019 00:00,127.54,50.41,12.78,1.51,None
26-06-2019 00:00,27-06-2019 00:00,86.94,34.82,12.94,1.43,None
27-06-2019 00:00,28-06-2019 00:00,95.25,32.88,13.6,1.36,None
28-06-2019 00:00,29-06-2019 00:00,120.99,30.09,12.61,1.35,None
29-06-2019 00:00,30-06-2019 00:00,161.41,43.02,11.52,1.38,None
30-06-2019 00:00,01-07-2019 00:00,137.56,16.7,5.33,1.1,None
01-07-2019 00:00,02-07-2019 00:00,156.29,30.23,11.4,1.36,None
02-07-2019 00:00,03-07-2019 00:00,127.45,35.75,12.2,1.4,None
03-07-2019 00:00,04-07-2019 00:00,123.2,33.41,12.91,1.39,None
04-07-2019 00:00,05-07-2019 00:00,143.54,48.48,14.3,1.62,None
05-07-2019 00:00,06-07-2019 00:00,129.22,44.32,14.38,1.48,None
06-07-2019 00:00,07-07-2019 00:00,130.35,57.44,12.74,1.48,None
07-07-2019 00:00,08-07-2019 00:00,181.86,53.04,15.43,1.35,None
08-07-2019 00:00,09-07-2019 00:00,133.69,34.2,16.29,1.35,None
09-07-2019 00:00,10-07-2019 00:00,107,32.59,18.65,1.37,None
10-07-2019 00:00,11-07-2019 00:00,103.46,35.1,22.99,1.31,None
11-07-2019 00:00,12-07-2019 00:00,104.18,31.35,29.93,1.28,None
12-07-2019 00:00,13-07-2019 00:00,106.18,32.18,33.17,1.23,None
13-07-2019 00:00,14-07-2019 00:00,119.42,38.89,16.56,1.44,None
14-07-2019 00:00,15-07-2019 00:00,100.92,37.44,23.87,1.3,None
15-07-2019 00:00,16-07-2019 00:00,100.32,29.14,19.09,1.21,None
16-07-2019 00:00,17-07-2019 00:00,56.89,30.86,6.43,1.18,None
17-07-2019 00:00,18-07-2019 00:00,None,None,None,None,None
18-07-2019 00:00,19-07-2019 00:00,None,None,None,None,None
19-07-2019 00:00,20-07-2019 00:00,None,None,None,None,None
20-07-2019 00:00,21-07-2019 00:00,140.47,57.27,6.96,1.59,None
21-07-2019 00:00,22-07-2019 00:00,110,55.9,6.95,1.43,None
22-07-2019 00:00,23-07-2019 00:00,101.3,51.25,6.71,1.49,None
23-07-2019 00:00,24-07-2019 00:00,82.21,45.38,6.98,1.49,None
24-07-2019 00:00,25-07-2019 00:00,114.67,38.61,7.01,1.51,None
25-07-2019 00:00,26-07-2019 00:00,99.84,33.48,6.69,1.39,None
26-07-2019 00:00,27-07-2019 00:00,101.73,44.1,6.93,1.49,None
27-07-2019 00:00,28-07-2019 00:00,None,None,None,None,None
28-07-2019 00:00,29-07-2019 00:00,None,None,None,None,None
29-07-2019 00:00,30-07-2019 00:00,145.42,37.26,6.79,1.46,None
30-07-2019 00:00,31-07-2019 00:00,111.47,32.56,7.16,1.44,None
31-07-2019 00:00,01-08-2019 00:00,101.32,23.09,8.18,1.04,None
01-08-2019 00:00,02-08-2019 00:00,123.12,30.26,7.25,1.24,None
02-08-2019 00:00,03-08-2019 00:00,103.64,35.17,7.38,1.38,None
03-08-2019 00:00,04-08-2019 00:00,155.02,49.63,7.06,1.71,None
04-08-2019 00:00,05-08-2019 00:00,136.94,56.23,8.45,1.35,None
05-08-2019 00:00,06-08-2019 00:00,85.07,34.88,7.58,1.19,None
06-08-2019 00:00,07-08-2019 00:00,75.58,36.3,6.91,1.38,None
07-08-2019 00:00,08-08-2019 00:00,55.91,30.3,7.76,1.36,None
08-08-2019 00:00,09-08-2019 00:00,38.87,11.69,7.17,0.94,None
09-08-2019 00:00,10-08-2019 00:00,99.52,67.86,7,1.77,None
10-08-2019 00:00,11-08-2019 00:00,90.99,41.35,6.98,1.44,None
11-08-2019 00:00,12-08-2019 00:00,72.56,28.17,7.27,1.22,None
12-08-2019 00:00,13-08-2019 00:00,105.27,29.83,6.95,1.51,None
13-08-2019 00:00,14-08-2019 00:00,79.76,31.03,7.38,1.33,None
14-08-2019 00:00,15-08-2019 00:00,89.13,32.21,6.64,1.54,None
15-08-2019 00:00,16-08-2019 00:00,None,None,None,None,None
16-08-2019 00:00,17-08-2019 00:00,78.95,36.03,6.01,1.6,None
17-08-2019 00:00,18-08-2019 00:00,103.25,30.47,7.2,1.5,None
18-08-2019 00:00,19-08-2019 00:00,46.8,35.67,7.85,1.34,None
19-08-2019 00:00,20-08-2019 00:00,102.27,34.66,7.55,1.5,None
20-08-2019 00:00,21-08-2019 00:00,62.68,24.8,7.79,1.38,None
21-08-2019 00:00,22-08-2019 00:00,57.77,26.29,7.57,1.39,None
22-08-2019 00:00,23-08-2019 00:00,90.93,25.06,7.68,1.52,None
23-08-2019 00:00,24-08-2019 00:00,73.54,26.84,7.51,1.39,None
24-08-2019 00:00,25-08-2019 00:00,102.98,34.01,7.7,1.63,None
25-08-2019 00:00,26-08-2019 00:00,98.26,32.07,7.14,1.52,None
26-08-2019 00:00,27-08-2019 00:00,160.55,40.93,8.58,1.59,None
27-08-2019 00:00,28-08-2019 00:00,124.86,41.66,8.33,1.63,None
28-08-2019 00:00,29-08-2019 00:00,104.14,31.52,8.12,1.37,None
29-08-2019 00:00,30-08-2019 00:00,166.3,47.78,8.81,1.71,None
30-08-2019 00:00,31-08-2019 00:00,158.22,49.61,8.46,1.74,None
31-08-2019 00:00,01-09-2019 00:00,132.56,45.04,8.85,1.61,None
01-09-2019 00:00,02-09-2019 00:00,93.89,39,8.85,1.42,None
02-09-2019 00:00,03-09-2019 00:00,None,None,None,None,None
03-09-2019 00:00,04-09-2019 00:00,90.6,31.17,8.83,1.49,None
04-09-2019 00:00,05-09-2019 00:00,91.34,41.87,9.13,1.66,None
05-09-2019 00:00,06-09-2019 00:00,81.83,33.45,8.86,1.5,None
