From Date,To Date,PM10,NO,NO2,NOx,SO2
01-01-2016 00:00,02-01-2016 00:00,106,42.71,74.54,68.23,16.94
02-01-2016 00:00,03-01-2016 00:00,97.4,76.86,106.9,109.5,18.13
03-01-2016 00:00,04-01-2016 00:00,105.33,73.08,111.02,108.7,19.63
04-01-2016 00:00,05-01-2016 00:00,100.08,52.71,98.43,87.35,21.46
05-01-2016 00:00,06-01-2016 00:00,103.88,58.99,99.67,92.65,23.8
06-01-2016 00:00,07-01-2016 00:00,83.88,68.62,89.37,95.15,32.41
07-01-2016 00:00,08-01-2016 00:00,74.04,82.63,55.27,88.62,50.45
08-01-2016 00:00,09-01-2016 00:00,63.57,115.01,59.65,114.92,31.62
09-01-2016 00:00,10-01-2016 00:00,73.78,122.17,80.6,130.49,34.7
10-01-2016 00:00,11-01-2016 00:00,61.74,92.56,72.85,104.61,37.7
11-01-2016 00:00,12-01-2016 00:00,50.76,113.25,60.56,114.06,40.83
12-01-2016 00:00,13-01-2016 00:00,None,None,None,None,None
13-01-2016 00:00,14-01-2016 00:00,None,None,None,None,None
14-01-2016 00:00,15-01-2016 00:00,None,None,None,None,None
15-01-2016 00:00,16-01-2016 00:00,None,None,None,None,None
16-01-2016 00:00,17-01-2016 00:00,None,None,None,None,None
17-01-2016 00:00,18-01-2016 00:00,None,None,None,None,None
18-01-2016 00:00,19-01-2016 00:00,63.19,100.67,86.22,117.18,59.39
19-01-2016 00:00,20-01-2016 00:00,46.09,88.56,63.78,97.21,61.81
20-01-2016 00:00,21-01-2016 00:00,32.87,120.59,58.37,118.47,65.5
21-01-2016 00:00,22-01-2016 00:00,70.85,94.52,66.25,102.89,47.18
22-01-2016 00:00,23-01-2016 00:00,162.98,135.84,90.78,145.66,35.75
23-01-2016 00:00,24-01-2016 00:00,135.4,103.79,66.04,109.97,30.27
24-01-2016 00:00,25-01-2016 00:00,88.87,77.39,92.96,103.1,15.07
25-01-2016 00:00,26-01-2016 00:00,95.43,41.81,110.9,85.31,22.78
26-01-2016 00:00,27-01-2016 00:00,100.45,17.14,76.34,50.03,26.72
27-01-2016 00:00,28-01-2016 00:00,81.11,32.41,54.13,51.64,29.35
28-01-2016 00:00,29-01-2016 00:00,None,None,None,None,None
29-01-2016 00:00,30-01-2016 00:00,None,None,None,None,None
30-01-2016 00:00,31-01-2016 00:00,319.84,51.49,90.17,82.41,26.78
31-01-2016 00:00,01-02-2016 00:00,240.22,28.34,59.6,50.22,10.29
01-02-2016 00:00,02-02-2016 00:00,209.88,31.68,61.89,53.83,10.95
02-02-2016 00:00,03-02-2016 00:00,227.64,27.23,58.2,48.71,8.87
03-02-2016 00:00,04-02-2016 00:00,257.84,26.48,61.45,49.74,8.74
04-02-2016 00:00,05-02-2016 00:00,222.1,20.83,51.16,40.5,9.9
05-02-2016 00:00,06-02-2016 00:00,240.42,20.7,50.12,39.9,6.88
06-02-2016 00:00,07-02-2016 00:00,220.63,17.13,45.68,35.06,8.57
07-02-2016 00:00,08-02-2016 00:00,320.42,33.59,61.45,55.04,13.08
08-02-2016 00:00,09-02-2016 00:00,136.93,7.32,21.18,15.79,10.59
09-02-2016 00:00,10-02-2016 00:00,224.42,18.58,53,39.72,40.35
10-02-2016 00:00,11-02-2016 00:00,282,16.39,59.55,41.29,121.23
11-02-2016 00:00,12-02-2016 00:00,198.37,13.83,40.26,29.51,131.55
12-02-2016 00:00,13-02-2016 00:00,189.39,13.97,46.77,33.24,6.04
13-02-2016 00:00,14-02-2016 00:00,165.65,15.04,44.84,33.1,5.5
14-02-2016 00:00,15-02-2016 00:00,143.58,15.87,41.13,31.91,4.98
15-02-2016 00:00,16-02-2016 00:00,121.61,19.1,41.56,34.52,5.16
16-02-2016 00:00,17-02-2016 00:00,147.54,14.19,35.31,27.81,6.23
17-02-2016 00:00,18-02-2016 00:00,166.4,17.23,39.73,32.24,6.39
18-02-2016 00:00,19-02-2016 00:00,135.36,17.15,36.29,30.5,5.1
19-02-2016 00:00,20-02-2016 00:00,160.21,19.55,45.9,36.98,5.28
20-02-2016 00:00,21-02-2016 00:00,106.25,18.52,43.87,35.22,6.55
21-02-2016 00:00,22-02-2016 00:00,85.61,19.62,47.38,37.76,6.31
22-02-2016 00:00,23-02-2016 00:00,95.65,12.81,39.66,28.91,7.05
23-02-2016 00:00,24-02-2016 00:00,90.99,9.4,25.47,19.44,6.68
24-02-2016 00:00,25-02-2016 00:00,112.82,12.49,47.71,32.43,8.07
25-02-2016 00:00,26-02-2016 00:00,124.97,11.73,36.97,26.78,19.03
26-02-2016 00:00,27-02-2016 00:00,136.22,18.22,35.03,30.69,13.33
27-02-2016 00:00,28-02-2016 00:00,131.56,26.73,33.51,39.44,6.76
28-02-2016 00:00,29-02-2016 00:00,140.39,57.74,67.89,70.22,8.55
29-02-2016 00:00,01-03-2016 00:00,172.84,25.88,39.38,38.52,8.5
01-03-2016 00:00,02-03-2016 00:00,178.67,21.47,45.28,38.15,7.85
02-03-2016 00:00,03-03-2016 00:00,None,None,None,None,None
03-03-2016 00:00,04-03-2016 00:00,None,None,None,None,None
04-03-2016 00:00,05-03-2016 00:00,None,None,None,None,None
05-03-2016 00:00,06-03-2016 00:00,None,None,None,None,None
06-03-2016 00:00,07-03-2016 00:00,None,None,None,None,None
07-03-2016 00:00,08-03-2016 00:00,None,None,None,None,None
08-03-2016 00:00,09-03-2016 00:00,139.65,66.1,134.15,152.23,8.26
09-03-2016 00:00,10-03-2016 00:00,148.97,18.89,73.22,48.42,7.11
10-03-2016 00:00,11-03-2016 00:00,173.5,24.64,46.1,53.96,5.53
11-03-2016 00:00,12-03-2016 00:00,177.55,19.65,32.04,51.23,5.26
12-03-2016 00:00,13-03-2016 00:00,172.64,11.85,42.35,34.95,4.79
13-03-2016 00:00,14-03-2016 00:00,137.48,10.32,39.7,27.03,3.85
14-03-2016 00:00,15-03-2016 00:00,160.44,14.07,80.49,48.84,4.54
15-03-2016 00:00,16-03-2016 00:00,148.39,19,68.69,44.22,5.19
16-03-2016 00:00,17-03-2016 00:00,158.49,16.22,89.6,54.51,4.65
17-03-2016 00:00,18-03-2016 00:00,170.75,9.63,58.78,34.28,4.4
18-03-2016 00:00,19-03-2016 00:00,210.8,None,None,None,3.77
19-03-2016 00:00,20-03-2016 00:00,208.1,43.7,115.1,88.71,3.21
20-03-2016 00:00,21-03-2016 00:00,186.95,2.38,4.22,3.8,2.67
21-03-2016 00:00,22-03-2016 00:00,150.38,3.13,4.92,4.63,3.78
22-03-2016 00:00,23-03-2016 00:00,110.64,1.36,2.3,1.3,4.57
23-03-2016 00:00,24-03-2016 00:00,219.3,9.84,19.57,19.26,10.52
24-03-2016 00:00,25-03-2016 00:00,192.37,10.72,16.9,18.04,9.58
25-03-2016 00:00,26-03-2016 00:00,182.49,None,None,None,8.19
26-03-2016 00:00,27-03-2016 00:00,167.65,None,None,None,8.05
27-03-2016 00:00,28-03-2016 00:00,174.52,None,None,None,3.97
28-03-2016 00:00,29-03-2016 00:00,159.59,None,None,None,6.59
29-03-2016 00:00,30-03-2016 00:00,169.89,None,None,None,8.28
30-03-2016 00:00,31-03-2016 00:00,148.86,5.67,38.12,28.46,11.76
31-03-2016 00:00,01-04-2016 00:00,154.44,5.83,40.54,30.14,7.5
01-04-2016 00:00,02-04-2016 00:00,146.6,5.87,35.73,25.34,10.62
02-04-2016 00:00,03-04-2016 00:00,None,None,None,None,None
03-04-2016 00:00,04-04-2016 00:00,195.21,None,None,None,8.78
04-04-2016 00:00,05-04-2016 00:00,176.51,75.42,56.15,151.94,9.6
05-04-2016 00:00,06-04-2016 00:00,250.36,41.72,51.32,80.99,9.68
06-04-2016 00:00,07-04-2016 00:00,287.17,5.83,49.94,30.78,5.92
07-04-2016 00:00,08-04-2016 00:00,215.5,1.17,9.59,4.95,7.95
08-04-2016 00:00,09-04-2016 00:00,769.09,8.4,60.68,38.25,5.53
09-04-2016 00:00,10-04-2016 00:00,199.27,85.88,112.36,97.51,7.99
10-04-2016 00:00,11-04-2016 00:00,182.8,9.29,55.61,36.47,5.93
11-04-2016 00:00,12-04-2016 00:00,217.54,4.59,35.6,20.61,5.36
12-04-2016 00:00,13-04-2016 00:00,205.48,0.81,0.34,0.44,6.23
13-04-2016 00:00,14-04-2016 00:00,210.14,64.72,99.62,93.5,8.15
14-04-2016 00:00,15-04-2016 00:00,258.7,25.12,86.25,63.39,6.61
15-04-2016 00:00,16-04-2016 00:00,229.52,15.69,41.65,33.7,8.97
