From Date,To Date,PM10,NO,NO2,NOx,SO2
01-01-2017 00:00,02-01-2017 00:00,104.76,12.88,68.64,None,7.84
02-01-2017 00:00,03-01-2017 00:00,105.95,18.59,75.86,None,9.09
03-01-2017 00:00,04-01-2017 00:00,105.76,17.13,79.81,None,7.7
04-01-2017 00:00,05-01-2017 00:00,120.07,14.25,76.32,None,5.09
05-01-2017 00:00,06-01-2017 00:00,113.91,15.74,75.2,None,7.97
06-01-2017 00:00,07-01-2017 00:00,133.11,21.86,93.68,None,7.1
07-01-2017 00:00,08-01-2017 00:00,139.3,21.91,95.57,None,8.34
08-01-2017 00:00,09-01-2017 00:00,124.97,11.11,65.8,None,7.7
09-01-2017 00:00,10-01-2017 00:00,136.18,21.24,95.07,None,11.19
10-01-2017 00:00,11-01-2017 00:00,126.83,7.78,60.3,None,6.26
11-01-2017 00:00,12-01-2017 00:00,140.75,12.53,79.05,None,8.53
12-01-2017 00:00,13-01-2017 00:00,139.56,15.95,81,None,6.52
13-01-2017 00:00,14-01-2017 00:00,110.61,8.94,49.43,None,6.63
14-01-2017 00:00,15-01-2017 00:00,None,None,None,None,None
15-01-2017 00:00,16-01-2017 00:00,None,None,None,None,None
16-01-2017 00:00,17-01-2017 00:00,75.29,15.4,60.48,None,5.2
17-01-2017 00:00,18-01-2017 00:00,129.65,11.94,64.8,None,7.5
18-01-2017 00:00,19-01-2017 00:00,110.22,8.95,55.59,None,5.79
19-01-2017 00:00,20-01-2017 00:00,103.49,14.18,68.28,None,7.02
20-01-2017 00:00,21-01-2017 00:00,117.11,15.63,73.34,None,6.3
21-01-2017 00:00,22-01-2017 00:00,101.9,16.51,69.06,None,7
22-01-2017 00:00,23-01-2017 00:00,103.67,17.24,77.1,None,6.92
23-01-2017 00:00,24-01-2017 00:00,125.36,17.59,81.06,None,8.15
24-01-2017 00:00,25-01-2017 00:00,121.63,13.37,71.86,None,7.01
25-01-2017 00:00,26-01-2017 00:00,115.15,14.68,75.7,None,6.47
26-01-2017 00:00,27-01-2017 00:00,108.39,12.33,58.92,None,5.91
27-01-2017 00:00,28-01-2017 00:00,84.71,12.64,54.36,None,10.96
28-01-2017 00:00,29-01-2017 00:00,61.82,13.48,54.07,None,7.21
29-01-2017 00:00,30-01-2017 00:00,60.87,10.15,46.18,None,7.14
30-01-2017 00:00,31-01-2017 00:00,85.04,15.24,72.45,None,7.37
31-01-2017 00:00,01-02-2017 00:00,80.39,12.69,68.02,None,11.64
01-02-2017 00:00,02-02-2017 00:00,81.73,13.07,75.68,None,18.97
